trainee_number,quality_group_score,cognition,initial_rating_score,final_instructor_score,sea_command,land_command,command_final,thinking_ability_final,sea_performance_final,teamwork_final,stress_resilience_final,persistence_final,motivation,structures_test,sea_rowing,sea_rowing_test,fuel_regulator_test,navigation_test,gps_test,fire_extinguishing_test,marine_navigation_radar_test,professional_lecture,lecture_from_home,submarine_heating_exercise,topographic_map_exercise,raft_exercise,ps2_exercise,commander_qualities_exercise,billion_dollar_exercise,rowing,ship_interception_exercise,hole_digging,sociometric_stretchers,journey_1,journey_2,sociometric_rope,crawls,hydraulic_system_test,submarine_watch_exercise,m16_disassembly,m16_assembly,m16_final,psychologist_interview,psychologist_final,naval_officers_formula_score,number_of_trainees_in_group,commander_sociometric_position,friend_sociometric_position,commander_sociometric_ninths,friend_sociometric_ninths,commander_sociometric_percentile,cubes_in_darkness,pull_up_exercise,acid_stream_exercise,rowing_competition,material_evacuation_exercise,machinery_component_understanding,machinery_mechanical_system_analysis,machinery_drawing_analysis,machinery_understanding_physical_forces,machinery_final_suitability_score,machinery_recommendation,electronics_simulator_score,electronics_electrical_circuit_test,electronics_interview,electronics_final_suitability_score,electronics_recommendation,conduct_two_assessments_flag,short_assessment
94,54,60,33,5,6,3,5,4,0,5,6,5,5,40,60,40,41,40,20,76,44,5,4,2,6,5,3,7,4,0,0,8,7,5,5,4,0,0,0,0,0,0,0,0,64,11,2,1,7,7,90.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
240,54,80,23,7,6,8,7,6,7,7,7,6,5,100,80,60,60,34,60,0,0,6,6,0,0,6,2,5,5,5,5,7,5,7,7,7,0,0,0,0,0,0,0,0,69,16,1,7,7,5,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,56,90,32,7,6,6,7,7,0,7,6,6,7,0,0,0,80,49,60,80,0,6,6,5,5,6,6,6,4,0,0,5,4,6,6,0,0,0,0,0,0,0,0,4,71,10,2,6,6,5,90.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,55,70,30,4,0,4,4,6,5,7,5,7,7,100,100,80,32,72,50,78,24,6,5,4,0,5,7,4,0,0,0,4,6,5,6,4,0,0,0,0,0,0,0,0,0,12,10,8,4,5,25.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,54,60,32,7,7,8,7,7,7,7,7,7,9,0,0,0,5,0,0,80,20,0,8,0,0,0,8,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,16,8,15,5,4,56.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
231,56,90,27,6,6,6,6,5,5,7,7,7,6,0,100,80,70,70,50,0,0,6,0,0,5,6,6,7,7,5,0,7,6,6,5,6,0,0,0,0,0,5,0,0,63,13,6,12,6,4,61.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,56,70,33,6,6,5,6,6,6,7,6,6,6,0,0,0,79,0,0,80,40,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,4,5,80.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,56,90,31,7,7,5,6,7,0,7,7,7,7,80,40,100,78,54,80,0,50,7,7,3,0,5,6,5,0,0,0,0,5,6,7,5,0,0,0,0,0,0,0,0,78,13,1,4,8,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,55,80,27,9,7,7,7,7,7,9,8,8,8,8,10,8,5,4,4,0,0,4,7,3,5,4,7,5,6,8,0,7,9,5,5,5,0,0,0,0,0,0,0,0,74,13,2,6,7,5,92.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,56,90,0,6,5,6,6,7,5,5,6,6,6,0,0,0,90,0,0,100,90,6,0,7,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,6,5,4,5,37.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,54,60,31,6,8,4,6,7,5,7,4,7,7,100,80,40,69,68,40,0,0,7,9,4,5,6,3,8,6,5,0,5,7,5,5,4,0,0,0,0,0,0,0,0,78,15,1,1,8,8,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,56,70,34,7,6,7,7,7,7,7,7,7,8,100,60,60,60,55,60,80,60,8,7,4,7,6,6,4,5,6,0,4,6,6,5,6,0,0,0,0,0,0,0,0,72,15,4,4,7,6,80.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,54,80,25,4,3,3,3,5,5,5,5,5,5,0,0,0,88,22,80,100,0,5,0,3,0,0,6,0,0,5,0,6,6,5,5,0,0,0,0,0,0,0,0,0,58,14,1,1,7,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,0,0,0,7,8,8,8,6,7,7,7,8,8,100,20,40,70,28,70,0,0,7,7,6,5,7,7,6,6,5,0,4,7,7,7,7,0,0,0,0,0,0,0,0,76,15,2,9,7,5,93.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,56,80,34,5,5,5,5,4,6,6,6,6,4,0,0,0,50,22,90,56,0,7,0,6,0,0,4,5,0,0,0,3,0,5,5,0,0,0,0,0,0,0,0,0,70,15,1,2,8,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,54,70,26,5,4,6,5,5,4,4,5,5,8,0,0,0,75,0,0,76,76,3,0,0,0,0,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,4,6,57.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,55,70,33,6,6,5,6,5,6,6,5,6,7,80,80,40,45,43,60,0,0,4,0,7,7,6,7,7,6,5,0,5,3,3,4,6,0,0,0,0,0,0,0,0,69,15,1,4,8,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,54,60,35,6,4,4,4,3,6,6,5,7,7,100,80,80,50,22,10,0,0,5,5,1,6,5,3,5,2,6,0,6,9,8,8,7,0,0,0,0,0,0,0,0,66,9,1,1,9,8,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
144,55,70,28,7,7,6,7,6,7,7,6,7,8,0,0,0,88,0,0,90,64,5,0,6,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,3,7,5,3,75.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,56,90,30,7,6,7,6,7,5,5,6,6,8,100,40,60,77,4,60,0,0,6,8,7,4,5,5,5,5,5,0,3,7,7,7,6,0,0,0,0,0,0,0,0,56,15,10,14,4,4,40.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,55,70,34,6,6,5,5,6,6,7,6,6,7,0,0,0,80,70,0,100,0,4,6,0,5,0,6,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,7,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,55,70,32,7,6,6,6,6,6,7,6,7,7,0,40,20,24,28,40,0,0,7,6,6,6,5,6,6,5,0,5,5,6,8,7,6,6,0,0,0,0,0,0,0,71,13,3,5,6,6,84.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,56,90,27,6,0,4,5,6,0,6,6,5,6,80,40,60,70,51,70,70,56,4,0,4,4,5,5,3,4,0,0,5,5,4,6,4,0,0,0,0,0,0,0,0,0,10,1,5,7,5,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,56,90,37,3,4,3,3,6,3,4,5,5,5,100,100,40,70,74,70,0,0,3,0,5,5,3,5,5,0,0,0,3,6,5,5,5,0,0,0,0,0,0,0,0,56,12,4,6,6,5,75.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,54,80,0,6,5,5,6,7,6,7,4,7,7,100,100,60,100,50,30,0,0,8,8,4,5,6,4,6,5,6,0,5,4,6,4,5,0,0,0,0,0,0,0,0,63,15,8,11,6,5,53.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,0,0,0,5,5,5,5,3,8,7,6,5,8,0,0,0,53,0,0,64,52,3,0,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,7,5,92.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,56,80,33,7,6,6,6,6,6,6,6,6,8,100,100,100,22,35,70,86,10,6,5,5,4,6,2,6,6,6,0,4,7,6,7,6,0,0,0,0,0,0,0,0,65,14,5,11,6,4,71.4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,54,70,0,7,0,7,7,7,8,6,8,7,8,100,80,80,85,0,50,0,0,6,8,7,7,0,5,6,6,8,0,7,7,8,6,6,0,0,0,0,0,0,0,0,0,15,3,4,6,6,86.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,54,70,28,5,5,4,4,4,4,5,5,7,9,100,0,60,75,52,50,0,0,7,6,4,3,4,0,5,5,4,0,5,7,3,7,3,0,0,0,0,0,0,0,0,66,15,1,3,7,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,56,80,34,6,6,4,6,5,6,7,6,7,8,0,100,100,43,0,10,50,52,4,5,5,5,6,4,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,70,11,2,2,6,7,90.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,54,70,26,7,6,5,6,5,6,7,7,6,7,100,60,20,60,30,50,0,0,6,8,4,3,7,6,2,7,7,0,4,8,6,8,4,0,0,0,0,0,0,0,0,64,15,6,5,6,6,66.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,56,70,35,5,5,5,5,4,6,5,5,6,7,0,0,0,80,0,60,90,30,6,7,0,4,0,4,0,0,6,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,10,1,3,8,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,55,80,28,7,6,0,0,0,0,6,0,0,0,80,60,40,80,32,60,0,0,6,0,0,6,7,4,6,5,0,7,4,6,5,0,6,0,52,6,0,0,5,0,0,65,14,4,6,7,6,78.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,54,70,29,5,4,4,4,3,3,5,4,4,5,100,100,40,38,22,10,60,50,0,6,6,8,3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,6,6,5,81.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
337,55,80,28,6,5,6,6,7,7,6,7,6,6,0,0,0,88,30,50,0,0,6,7,0,0,8,8,4,0,7,0,0,0,4,5,0,0,0,0,0,0,5,0,0,62,10,4,7,6,5,75.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
199,56,80,30,6,6,5,6,7,5,6,6,6,8,100,100,60,90,51,90,0,0,6,0,6,6,5,4,5,6,5,0,6,4,5,5,4,0,0,0,0,0,0,0,0,68,11,2,1,7,8,90.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,56,90,29,7,7,5,6,6,5,6,6,8,0,100,40,40,60,65,60,0,0,8,0,0,5,4,4,6,4,6,7,0,6,4,8,0,7,0,7,0,0,8,0,0,71,15,3,4,7,6,86.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,55,70,29,6,7,4,6,4,6,5,7,7,6,0,0,0,60,0,50,78,58,6,4,4,0,4,6,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,4,3,0,6,2,4,5,4,83.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,54,70,0,7,5,4,7,4,7,8,7,6,9,0,0,0,70,64,20,60,0,5,3,2,0,0,2,0,0,6,0,7,5,5,5,0,0,0,0,0,0,0,0,4,59,10,7,7,5,5,40.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,56,80,33,7,6,5,6,5,6,7,8,7,6,0,0,0,70,60,0,88,0,5,4,0,5,0,5,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,6,4,75.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,55,70,34,4,7,5,4,7,6,4,5,4,9,0,0,0,68,0,50,54,48,4,5,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,12,5,4,5,5,66.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,56,90,31,6,5,6,6,5,5,4,5,5,6,0,0,0,80,38,60,98,0,8,0,3,0,0,5,0,4,5,0,5,5,5,5,0,0,0,0,0,0,0,0,0,61,13,4,5,7,6,76.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,54,70,27,7,5,8,7,6,5,7,7,8,7,40,60,20,0,15,20,0,0,7,6,5,4,6,3,4,5,5,4,5,4,5,6,5,8,0,0,0,0,0,0,0,64,13,6,9,6,4,69.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,56,90,31,9,5,8,7,6,8,7,6,7,9,80,60,60,70,38,70,0,0,8,0,0,5,4,4,5,6,4,5,7,5,6,5,6,5,48,0,0,0,7,0,0,72,14,1,2,9,7,100.0,0,0,6,0,0.0,0,0,0,0,0,2,19,4,0,3,0,0,1
83,55,80,0,7,7,6,7,6,7,6,7,7,9,60,70,20,48,66,40,0,0,6,8,6,6,7,5,6,5,9,0,8,6,4,5,6,0,0,0,0,0,0,0,0,61,15,9,8,5,5,46.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,56,80,0,8,9,8,8,7,7,8,8,8,8,0,0,0,89,52,60,60,0,8,0,0,6,0,6,0,0,7,0,8,5,6,5,0,0,0,0,0,0,0,0,5,83,12,1,1,8,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,56,80,37,6,6,2,6,6,6,6,6,6,7,0,0,0,76,0,0,83,53,7,6,5,0,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,74,13,1,1,8,8,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
197,56,90,35,6,7,5,7,6,7,7,7,5,6,0,100,60,90,20,10,0,0,7,7,4,4,6,6,6,5,0,4,6,6,6,6,6,6,0,0,0,0,0,0,0,76,13,2,4,7,6,92.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,56,80,35,5,6,4,5,5,6,5,5,7,9,0,0,0,6,0,3,5,1,3,4,4,0,5,6,0,0,6,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,8,2,1,8,7,87.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
241,54,80,0,7,4,7,0,0,0,6,7,8,7,0,0,0,0,0,0,0,0,7,0,0,0,3,5,6,5,0,4,5,5,8,5,0,0,40,4,0,0,2,0,0,50,11,10,11,3,3,18.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
188,56,90,32,6,3,3,3,6,6,7,6,6,8,100,20,20,78,52,60,0,0,8,9,7,4,7,6,5,6,4,0,6,6,8,8,4,0,0,0,0,0,0,0,0,63,14,5,12,6,4,71.4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
242,56,80,33,7,5,7,7,5,6,8,7,7,6,20,100,40,44,48,50,0,0,6,8,0,0,7,6,6,6,6,0,6,5,7,6,7,0,46,7,0,0,0,0,0,69,16,4,6,7,5,81.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,55,70,31,7,4,7,7,6,6,7,7,8,8,80,60,40,70,16,60,0,0,5,4,3,4,5,5,4,5,0,0,8,5,5,6,6,0,0,0,0,0,0,0,0,65,13,2,2,8,6,92.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,56,80,0,7,4,6,6,5,5,7,6,6,5,0,0,0,50,64,70,88,0,5,4,6,0,0,5,0,0,6,0,8,6,5,5,0,0,0,0,0,0,0,0,4,62,10,3,4,6,6,80.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,56,80,37,7,6,7,7,6,6,7,7,8,5,100,20,20,80,6,30,0,0,8,7,6,5,3,6,8,6,6,0,6,7,5,5,6,0,0,0,0,0,0,0,0,77,13,1,1,8,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,56,90,33,6,6,5,5,4,6,5,5,4,8,0,0,0,69,54,100,100,0,7,7,3,0,0,5,3,6,6,0,6,5,6,6,0,0,0,0,0,0,0,0,0,66,11,3,1,6,7,81.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1
141,56,90,29,7,6,6,7,6,6,6,5,6,8,100,80,20,65,22,10,0,0,7,5,5,4,5,7,6,7,5,7,6,5,6,6,6,6,0,0,0,0,0,0,0,71,10,1,2,7,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,56,90,33,5,5,3,5,6,7,6,6,6,7,100,60,60,77,54,50,0,0,2,2,0,2,3,6,3,3,5,3,0,2,4,5,0,5,0,0,0,0,0,0,0,52,13,9,6,5,5,38.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,56,90,0,7,6,7,6,7,8,7,7,7,8,60,60,20,53,34,70,0,0,6,0,0,0,6,6,6,5,6,5,0,5,5,5,0,5,0,0,0,0,0,0,0,58,10,8,10,3,3,30.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,54,70,25,8,7,8,8,8,8,7,7,7,5,100,60,40,62,48,50,0,0,6,8,0,0,6,6,6,6,8,6,0,6,4,7,0,5,0,0,0,0,0,0,0,72,14,1,2,8,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,56,80,31,5,5,7,6,8,4,2,5,4,5,0,80,60,60,50,50,0,0,8,2,0,4,4,3,3,6,7,5,5,5,6,6,5,5,0,4,0,0,5,0,0,56,14,5,10,6,4,71.4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,56,80,33,5,6,4,5,6,0,7,5,6,5,0,0,0,80,70,90,90,0,5,0,6,5,4,5,3,6,0,0,6,5,6,6,0,0,0,0,0,0,0,0,0,72,10,1,5,8,5,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,54,60,34,6,6,5,6,5,6,6,5,6,7,0,0,0,68,34,50,46,0,8,0,4,0,0,4,0,4,0,0,6,4,6,6,0,0,0,0,0,0,0,0,0,71,13,3,4,7,6,84.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,52,60,0,7,6,8,7,6,8,5,7,7,6,0,0,0,67,0,0,96,80,7,0,4,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,6,5,64.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,56,70,33,6,4,4,6,7,5,4,3,6,6,0,0,0,80,0,90,66,82,7,0,0,0,0,7,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,59,12,3,3,6,6,79.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,55,70,0,6,6,6,6,6,8,5,6,7,7,100,80,40,45,0,50,0,0,5,0,4,8,0,6,6,5,8,0,8,7,8,5,8,0,0,0,0,0,0,5,5,66,15,1,8,7,5,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,56,80,33,5,6,3,4,6,6,6,4,5,5,0,0,0,87,0,80,90,42,6,4,5,0,6,5,0,0,4,0,5,0,4,0,0,0,0,0,0,0,0,5,5,0,6,5,2,4,6,33.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,56,70,36,6,6,5,4,5,7,5,5,4,7,0,0,0,69,0,0,78,46,7,8,2,0,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,13,6,12,5,3,61.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,55,80,27,5,4,5,5,2,5,6,3,6,7,0,0,0,78,0,70,90,74,3,0,0,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57,12,4,1,6,7,79.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,53,60,28,7,6,6,7,6,5,5,6,6,9,100,60,60,69,46,60,0,0,7,0,3,6,6,5,7,6,5,0,7,7,6,7,7,0,0,0,0,0,0,0,0,66,13,2,1,8,7,92.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,56,80,30,9,6,8,8,8,8,8,8,8,9,0,80,60,60,48,60,0,0,8,0,0,7,8,8,7,7,8,0,7,6,7,5,8,0,0,0,0,0,6,0,0,76,13,1,7,7,5,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,54,70,0,6,5,3,4,5,5,4,4,5,7,0,0,0,70,38,90,56,0,5,6,4,0,0,4,0,0,5,0,6,5,5,5,0,0,0,0,0,0,0,6,5,56,10,4,10,5,4,70.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,54,80,0,6,6,5,6,6,7,6,6,7,7,80,80,20,60,35,40,0,0,6,6,6,5,6,7,6,5,6,0,6,5,6,7,6,0,0,0,0,0,0,5,5,57,11,8,11,4,3,36.4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,55,70,33,4,7,5,7,5,0,7,6,7,8,100,20,0,57,46,40,0,0,6,0,4,5,6,6,6,0,0,0,6,7,6,6,4,0,0,0,0,0,0,0,0,67,9,3,6,6,4,72.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,55,60,35,7,5,8,7,4,5,6,6,6,7,100,80,60,43,44,60,0,0,6,4,1,4,5,2,6,4,6,0,6,5,6,4,4,0,0,0,0,0,0,0,0,62,14,6,2,6,7,64.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,56,80,34,7,0,7,7,7,0,7,6,7,7,100,100,20,69,50,90,0,0,9,9,5,0,7,8,7,7,0,0,0,0,8,8,0,0,0,0,0,0,0,0,5,0,13,1,1,8,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
289,55,80,30,3,3,4,3,3,3,4,4,3,3,0,40,20,44,26,70,0,0,4,2,0,0,5,3,3,4,5,0,5,5,3,3,4,0,20,2,3,0,0,0,0,55,16,2,8,7,5,93.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,56,90,0,6,0,5,6,6,0,7,7,7,7,100,40,20,54,58,40,0,0,7,8,5,0,0,6,5,7,0,0,0,0,5,7,0,0,0,0,0,0,0,0,6,0,14,6,10,6,4,64.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,56,80,39,5,0,5,5,5,5,5,6,5,5,80,80,60,85,70,70,80,10,6,5,4,0,6,2,3,0,0,0,4,5,5,5,3,0,0,0,0,0,0,0,0,0,12,2,3,7,5,91.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,56,80,32,6,5,7,6,5,5,6,6,6,6,0,0,0,70,14,30,76,0,6,0,4,0,0,5,0,5,0,0,7,6,6,6,0,0,0,0,0,0,0,0,0,68,13,1,3,7,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
183,56,90,34,5,6,3,5,6,6,4,3,7,9,0,80,40,65,50,80,0,0,6,4,5,4,6,6,4,5,5,5,4,4,6,6,5,4,0,0,0,0,0,0,0,67,10,1,3,8,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,56,70,33,7,7,8,7,5,7,5,5,7,8,0,0,0,54,0,80,48,40,8,0,5,0,0,4,5,7,0,0,5,5,5,5,0,0,0,0,0,0,0,0,5,64,13,7,13,5,4,53.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,56,90,27,7,6,6,7,7,6,6,6,5,6,0,0,0,56,80,90,90,0,5,4,6,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,7,5,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
198,54,70,28,6,7,6,6,7,6,6,6,5,6,0,100,40,60,22,50,0,0,6,0,0,5,4,6,5,6,6,7,5,7,6,6,6,6,0,5,0,0,5,0,0,60,14,9,8,5,5,42.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,56,90,28,6,6,6,6,7,4,6,5,6,8,0,0,0,100,0,0,100,72,8,7,4,0,6,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,60,12,9,10,5,4,41.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,55,80,27,6,6,6,6,6,0,6,6,7,6,0,0,0,60,24,80,70,0,6,6,4,5,6,5,3,4,0,0,5,6,6,6,0,0,0,0,0,0,0,0,0,61,10,5,4,5,5,60.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,56,90,34,6,7,4,6,6,7,6,6,6,7,80,80,20,68,18,80,0,0,5,6,5,3,6,5,5,3,5,0,6,7,5,7,5,0,0,0,0,0,0,0,0,73,15,1,5,7,5,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,54,60,33,6,7,5,7,4,3,7,6,7,6,80,40,40,68,32,20,0,0,6,0,4,5,3,4,5,0,0,0,4,5,5,5,6,0,0,0,0,0,0,0,0,73,12,2,4,7,6,91.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,55,70,32,7,6,5,7,5,8,8,6,7,5,80,0,40,44,56,60,0,0,6,5,6,4,4,0,5,8,9,0,4,8,8,8,4,0,0,0,0,0,0,0,0,70,15,5,1,6,7,73.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,54,70,25,7,6,6,6,8,7,6,7,8,7,100,100,40,77,44,40,0,0,6,0,5,5,6,7,3,6,5,9,7,6,5,0,6,7,0,0,0,0,0,0,0,66,14,2,1,8,7,92.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
174,55,70,32,8,8,8,8,6,9,7,8,8,8,0,60,80,63,0,50,0,0,6,0,6,6,8,2,6,5,5,0,7,7,5,5,6,0,0,2,0,0,0,0,0,76,13,2,1,8,8,92.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,56,90,31,5,7,6,6,8,7,4,5,6,4,80,60,40,50,11,80,0,0,6,0,0,0,6,8,4,8,7,7,0,4,5,6,0,5,0,0,0,0,0,0,0,67,14,2,3,7,6,92.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,56,80,32,8,8,8,8,6,5,8,7,8,7,100,100,80,60,58,70,0,0,5,5,0,7,8,6,0,0,0,7,0,3,0,6,0,3,60,6,0,0,5,0,0,78,12,1,4,8,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
